model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M4_block_alpha_full_response,3,-0.45836005374814953,0.21009393887200653,TRUE,alpha_stable,"alpha[19,1]",0.18454769625185047,0.057383476,8.72939983e-4,0.8334101004999996,1.0021941238355965,6040.305127058377,2592.0591706870005,0.64290775
M4_block_alpha_full_response,3,-0.023360939054280994,5.45733473497831e-4,TRUE,alpha_stable,"alpha[20,1]",0.326212860945719,0.19121731,0.0014059574150000003,0.9628590869999999,1.0000125008350427,5985.71022779857,2891.3809315520684,0.3495738
M4_block_alpha_full_response,3,0.09586648205037501,0.009190382380714875,TRUE,alpha_stable,"alpha[21,1]",0.279652382050375,0.14617817500000002,0.00157075377,0.9268413879999999,0.9998150804215602,6008.882732785064,3069.5881979170904,0.1837859
M4_block_alpha_full_response,3,-0.19267007109223255,0.03712175629468595,TRUE,alpha_stable,"alpha[22,1]",0.27450401890776743,0.10264082,0.0011773196449999998,0.9475088759999997,1.001604458439423,5310.8597018577875,3164.06289539996,0.46717409
M4_block_alpha_full_response,3,3.6694746539414993e-4,1.3465044235919085e-7,TRUE,alpha_stable,"alpha[23,1]",0.00159985936539415,0.00111298195,6.446466385000001e-5,0.004764038269999998,1.0001412350769865,5212.969619335206,3080.7116903850306,0.0012329119
M4_block_alpha_full_response,3,0.13198187219825008,0.017419214588955217,TRUE,alpha_stable,"alpha[24,1]",0.70312253219825,0.7223572899999999,0.35610265249999995,0.9782965414999999,1.0017193811830007,4874.565876983068,2043.7701894645938,0.57114066
M4_block_alpha_full_response,3,-0.3679413301501663,0.13538082243267366,TRUE,alpha_stable,"alpha[25,1]",0.17475472984983376,0.12018876,0.003316481895000001,0.5557081304999999,1.0011372446542133,4012.095685663131,2113.294087603035,0.54269606
M4_block_alpha_full_response,3,-0.00158272575134314,2.505020803964707e-6,TRUE,alpha_stable,"alpha[26,1]",0.00158012664865686,0.0011276133,7.205464475e-5,0.004577595824999998,1.00001032161756,4149.178603871551,2619.626007305401,0.0031628524
M4_block_alpha_full_response,3,0.004064232634485699,1.6517986907218567e-5,TRUE,alpha_stable,"alpha[27,1]",0.0067194648344857,0.00326777565,1.3133005650000002e-4,0.021351187499999973,0.9999350371526831,4732.243754867302,2522.4432530815197,0.0026552322
M4_block_alpha_full_response,3,0.028567774877812785,8.161177614693912e-4,TRUE,alpha_stable,"alpha[28,1]",0.1901312548778128,0.0427872125,6.06626389e-4,0.8953860949999997,1.000009852282238,5268.3047859371445,2727.746592379429,0.16156348
M4_block_alpha_full_response,3,-0.10956860988434247,0.012005280271987231,TRUE,alpha_stable,"alpha[29,1]",0.8281133101156575,0.891817365,0.442556908,0.9946056325,1.0110535756514694,1230.743319002035,350.7519776207907,0.93768192
M4_block_alpha_full_response,3,-0.2259074245112599,0.05103416444931059,TRUE,alpha_stable,"alpha[30,1]",0.10634255548874012,0.0569128985,0.0015724925850000003,0.3735226634999999,1.0013185615870583,5023.532588729264,2344.1497988370984,0.33224998
M4_block_alpha_full_response,3,-0.28884849403582946,0.0834334525067666,FALSE,alpha_stable,"alpha[31,1]",0.0893900759641705,0.0371091665,0.001614502445,0.34143948650000006,0.9998877369617397,5204.608332224768,2331.071915857977,0.37823857
M4_block_alpha_full_response,3,0.14691408340815426,0.021583747903658107,TRUE,alpha_stable,"alpha[32,1]",0.5459657334081542,0.5751830250000001,0.03721739075000001,0.9469661364999999,1.0034569871849497,4108.2971023588325,1893.1385751620994,0.39905165
