model,replication,parameter_class,n_parameters,pearson_r,spearman_rho,mean_bias,rmse,interval_coverage
M4_block_alpha_full_response,2,beta,65,0.9669111236349158,0.9134178321678321,-4.004200403086683,33.43719383956044,0.7846153846153846
M4_block_alpha_full_response,2,delta_alpha,65,0.5987106493724847,0.540340909090909,0.07678206356047436,0.318095105136516,0.9076923076923077
M4_block_alpha_full_response,2,delta_log_alpha,65,0.5943722467983328,0.5868444055944056,0.6301570290252174,1.9509222030453566,0.9230769230769231
M4_block_alpha_full_response,2,rho,65,0.94302292608994,0.9341783216783217,0.016859634547545375,0.2219701202698241,0.9692307692307692
M4_block_alpha_full_response,2,side_bias,65,0.9521181699956437,0.8547202797202798,-0.03237138148426926,0.254855410825057,0.9076923076923077
M4_block_alpha_full_response,3,alpha_stable,65,0.6192473468194069,0.5881555944055944,-0.07578008913273437,0.2746833407809122,0.9076923076923077
M4_block_alpha_full_response,3,alpha_volatile,65,0.73069647144133,0.7269230769230769,0.015015290771748993,0.2578289625581495,0.9538461538461539
M4_block_alpha_full_response,3,beta,65,0.985825268197018,0.9222027972027972,-2.6896838276305104,20.398338214976402,0.7846153846153846
M4_block_alpha_full_response,3,delta_alpha,65,0.6224456016790506,0.6014423076923077,0.09079537957929283,0.34977310088326513,0.8923076923076924
M4_block_alpha_full_response,3,delta_log_alpha,65,0.5981354257416182,0.6375,0.5038318475687452,1.6410851832194113,0.9384615384615385
M4_block_alpha_full_response,3,rho,65,0.9019991710830605,0.8864947552447553,-0.04064876985755923,0.2869445542220626,0.8769230769230769
M4_block_alpha_full_response,3,side_bias,65,0.9339796167434601,0.8689685314685315,0.03504497745544305,0.3027315823500865,0.8615384615384616
M4_block_alpha_full_response,4,alpha_stable,65,0.585884044014579,0.701048951048951,-0.10044409577123338,0.27612299477898755,0.8615384615384616
M4_block_alpha_full_response,4,alpha_volatile,65,0.729664225101455,0.7344405594405594,-0.09211378461992224,0.25878838933406495,0.8615384615384616
M4_block_alpha_full_response,4,beta,65,0.9937224303761047,0.9378496503496504,0.020437306292329833,0.7707428648980931,0.9076923076923077
M4_block_alpha_full_response,4,delta_alpha,65,0.5915809368236411,0.526486013986014,0.008330311163588764,0.2724403996863096,0.9230769230769231
M4_block_alpha_full_response,4,delta_log_alpha,65,0.6679450052909438,0.6308129370629371,-0.19143624602517972,1.9074008852124165,0.9538461538461539
M4_block_alpha_full_response,4,rho,65,0.9380989963707379,0.9223339160839161,-0.06336028389429366,0.24736567116935232,0.8923076923076924
M4_block_alpha_full_response,4,side_bias,65,0.9535710588797439,0.8918269230769231,0.01755624053603869,0.2275873632385814,0.9076923076923077
M4_block_alpha_full_response,5,alpha_stable,65,0.6728820133221945,0.7122814685314686,-0.027139442791159228,0.215762863878106,0.9692307692307692
M4_block_alpha_full_response,5,alpha_volatile,65,0.6549599709988978,0.6625874125874126,0.004144431842445012,0.2690880392619,0.8615384615384616
M4_block_alpha_full_response,5,beta,65,0.994025859115958,0.9593968531468532,0.2672619000156191,1.3376913603019724,0.8153846153846154
M4_block_alpha_full_response,5,delta_alpha,65,0.5127586249680505,0.4777097902097902,0.03128387442091875,0.3499328121440615,0.8153846153846154
M4_block_alpha_full_response,5,delta_log_alpha,65,0.5752490080477267,0.5406905594405594,0.5397214515391376,1.7466722880147385,0.8769230769230769
M4_block_alpha_full_response,5,rho,65,0.9188907391938512,0.9185314685314685,0.039419045544456424,0.2789175832216622,0.8307692307692308
M4_block_alpha_full_response,5,side_bias,65,0.9404771090508414,0.8493444055944056,0.04953589061707096,0.2727444290109573,0.9076923076923077
M7_single_alpha_full_response,1,alpha_general,65,0.6092191901410086,0.5834353146853147,-0.12508600657104696,0.31761223087390694,0.8461538461538461
M7_single_alpha_full_response,1,beta,65,0.8899766754873968,0.9235576923076924,-1.219264151097417,13.373822257705802,0.9076923076923077
M7_single_alpha_full_response,1,rho,65,0.9555722362378658,0.9509178321678322,-0.05375504338225986,0.21148988938019492,0.9384615384615385
M7_single_alpha_full_response,1,side_bias,65,0.9177452182698941,0.8230332167832168,0.051155443447950484,0.2887522465531652,0.8461538461538461
