model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M3_block_alpha_stickiness,35,13555618,0.0011316088907849875,0.003266932443926885,1.0603578213629175,201.7833717615,0.8103475361021075,NA,NA,5.25,3.777777778,4.470588235,4.833333333,4.5,27,17,17,16
M3_block_alpha_stickiness,36,13557505,0.37203486685015724,0.47681206524333425,0.43196612365476,0.3881027266613125,0.9938494859675,NA,NA,3.125,6.555555556,4.941176471,3.666666667,1.75,18,31,20,17
M3_block_alpha_stickiness,37,13561397,0.2209897884224338,0.325530041227622,0.89046857705461,0.1973443111450425,-0.036829965309915,NA,NA,2.125,3.333333333,2.764705882,4.5,3,19,13,21,7
M3_block_alpha_stickiness,38,13564237,0.46274398460747374,0.4097159730102825,0.0307808796944715,3.19704661352325,2.2345626666,NA,NA,5.125,3.555555556,4.294117647,4.166666667,5.75,29,17,29,15
M3_block_alpha_stickiness,39,13566178,0.4566696190290075,0.21609755026027247,-1.48222217880687,0.889579321628875,0.28995121438382,NA,NA,4.75,4.111111111,4.411764706,3.333333333,3.5,22,16,18,20
M3_block_alpha_stickiness,40,13574435,0.001596025234338165,0.015177114545903505,2.22323096032501,8.67795159535,-0.065036234445045,NA,NA,4.5,5.888888889,5.235294118,6.666666667,5.25,30,9,33,3
M3_block_alpha_stickiness,41,13574754,0.197165188212196,0.511730211954704,1.59596130040534,0.6160644136285625,0.30648603672469,NA,NA,2.375,2.666666667,2.529411765,3.666666667,1,21,25,34,12
M3_block_alpha_stickiness,42,13575611,0.11066335007417807,0.16917829740376278,1.386729504385375,1.679713225131,0.08126046232060243,NA,NA,4.125,4.444444444,4.294117647,2.833333333,2,14,15,17,22
M3_block_alpha_stickiness,43,13575855,0.241052615876225,0.7486259647825,1.3339232640420404,3.779445688955,1.5635005594575,NA,NA,2.25,5.444444444,3.941176471,4.5,1.75,26,18,7,28
M3_block_alpha_stickiness,44,13576062,0.54003838584935,0.829437587136275,0.6186250315292939,2.5719945214525,1.60252368685,NA,NA,3.375,5.333333333,4.411764706,2.666666667,1,30,4,36,9
