model,condition,trial_within_phase,metric,observed,posterior_predictive_mean,posterior_predictive_median,lower_95,upper_95
M4_block_alpha_full_response,Volatile1,12,choose_blue,0.46153846153846156,0.4544615384615385,0.46153846153846156,0.36115384615384616,0.5538461538461539
M4_block_alpha_full_response,Volatile1,12,optimal_choice,0.6307692307692307,0.623897435897436,0.6307692307692307,0.5230769230769231,0.7230769230769231
M4_block_alpha_full_response,Volatile1,13,choose_blue,0.4,0.41261538461538466,0.4153846153846154,0.3076923076923077,0.5230769230769231
M4_block_alpha_full_response,Volatile1,13,optimal_choice,0.6,0.5983589743589743,0.6,0.49230769230769234,0.7003846153846149
M4_block_alpha_full_response,Volatile1,14,choose_blue,0.36923076923076925,0.41820512820512823,0.4153846153846154,0.31500000000000006,0.5230769230769231
M4_block_alpha_full_response,Volatile1,14,optimal_choice,0.6,0.6108205128205129,0.6153846153846154,0.5076923076923077,0.7230769230769231
M4_block_alpha_full_response,Volatile1,15,choose_blue,0.4,0.38784615384615384,0.38461538461538464,0.2842307692307693,0.5157692307692304
M4_block_alpha_full_response,Volatile1,15,optimal_choice,0.6153846153846154,0.6254871794871795,0.6307692307692307,0.5076923076923077,0.7311538461538458
M4_block_alpha_full_response,Volatile1,16,choose_blue,0.4153846153846154,0.45743589743589746,0.46153846153846156,0.35384615384615387,0.577307692307692
M4_block_alpha_full_response,Volatile1,16,optimal_choice,0.6,0.6030769230769231,0.6,0.49230769230769234,0.7076923076923077
M4_block_alpha_full_response,Volatile1,17,choose_blue,0.4,0.40066666666666667,0.4,0.2923076923076923,0.49230769230769234
M4_block_alpha_full_response,Volatile1,17,optimal_choice,0.6615384615384615,0.6469230769230769,0.6461538461538462,0.5457692307692308,0.7384615384615385
M4_block_alpha_full_response,Volatile1,18,choose_blue,0.36923076923076925,0.38512820512820517,0.38461538461538464,0.2923076923076923,0.49230769230769234
M4_block_alpha_full_response,Volatile1,18,optimal_choice,0.6153846153846154,0.6314871794871795,0.6307692307692307,0.5230769230769231,0.7230769230769231
M4_block_alpha_full_response,Volatile1,19,choose_blue,0.3384615384615385,0.4026666666666667,0.4,0.3076923076923077,0.500384615384615
M4_block_alpha_full_response,Volatile1,19,optimal_choice,0.6615384615384615,0.6437948717948718,0.6461538461538462,0.5384615384615384,0.7384615384615385
M4_block_alpha_full_response,Volatile1,20,choose_blue,0.3230769230769231,0.37333333333333335,0.36923076923076925,0.27692307692307694,0.46153846153846156
M4_block_alpha_full_response,Volatile1,20,optimal_choice,0.7230769230769231,0.6681025641025641,0.6615384615384615,0.5692307692307692,0.7692307692307693
M4_block_alpha_full_response,Volatile2,1,choose_blue,0.4307692307692308,0.43333333333333335,0.4307692307692308,0.3230769230769231,0.5230769230769231
M4_block_alpha_full_response,Volatile2,1,optimal_choice,0.453125,0.4568229166666667,0.453125,0.34375,0.5625
M4_block_alpha_full_response,Volatile2,2,choose_blue,0.4,0.4908205128205128,0.49230769230769234,0.4,0.6
M4_block_alpha_full_response,Volatile2,2,optimal_choice,0.4482758620689655,0.5549425287356322,0.5517241379310345,0.4482758620689655,0.6551724137931034
M4_block_alpha_full_response,Volatile2,3,choose_blue,0.5076923076923077,0.5395384615384615,0.5384615384615384,0.43807692307692314,0.6461538461538462
M4_block_alpha_full_response,Volatile2,3,optimal_choice,0.5245901639344263,0.5747540983606557,0.5737704918032787,0.4831967213114754,0.6721311475409836
M4_block_alpha_full_response,Volatile2,4,choose_blue,0.5076923076923077,0.5314871794871795,0.5230769230769231,0.4307692307692308,0.6307692307692307
M4_block_alpha_full_response,Volatile2,4,optimal_choice,0.5,0.5409375,0.546875,0.4375,0.65625
M4_block_alpha_full_response,Volatile2,5,choose_blue,0.5692307692307692,0.5612820512820513,0.5615384615384615,0.4688461538461539,0.6615384615384615
M4_block_alpha_full_response,Volatile2,5,optimal_choice,0.5967741935483871,0.5996774193548388,0.5967741935483871,0.5,0.7096774193548387
M4_block_alpha_full_response,Volatile2,6,choose_blue,0.5692307692307692,0.5955897435897436,0.6,0.47692307692307695,0.6849999999999996
M4_block_alpha_full_response,Volatile2,6,optimal_choice,0.576271186440678,0.618361581920904,0.6101694915254238,0.5084745762711864,0.7288135593220338
M4_block_alpha_full_response,Volatile2,7,choose_blue,0.6461538461538462,0.6013846153846154,0.6,0.49230769230769234,0.7076923076923077
M4_block_alpha_full_response,Volatile2,7,optimal_choice,0.576271186440678,0.6150282485875707,0.6101694915254238,0.5084745762711864,0.711864406779661
M4_block_alpha_full_response,Volatile2,8,choose_blue,0.6307692307692307,0.6024615384615385,0.6,0.5076923076923077,0.6923076923076923
M4_block_alpha_full_response,Volatile2,8,optimal_choice,0.6190476190476191,0.6164021164021164,0.6190476190476191,0.5079365079365079,0.7226190476190473
M4_block_alpha_full_response,Volatile2,9,choose_blue,0.6307692307692307,0.6351282051282051,0.6307692307692307,0.5384615384615384,0.7230769230769231
M4_block_alpha_full_response,Volatile2,9,optimal_choice,0.5806451612903226,0.6415591397849463,0.6451612903225806,0.532258064516129,0.7419354838709677
