model,ppc_draw,metric,value
M3_block_alpha_stickiness,76,stay_rate,0.6202973497091144
M3_block_alpha_stickiness,76,switch_after_loss,0.43763736263736264
M3_block_alpha_stickiness,76,switch_after_no_loss,0.3282051282051282
M3_block_alpha_stickiness,77,optimal_choice,0.5967679379444085
M3_block_alpha_stickiness,77,choose_blue,0.5280769230769231
M3_block_alpha_stickiness,77,stay_rate,0.6116354234001293
M3_block_alpha_stickiness,77,switch_after_loss,0.4678280415847148
M3_block_alpha_stickiness,77,switch_after_no_loss,0.3206417624521073
M3_block_alpha_stickiness,78,optimal_choice,0.609049773755656
M3_block_alpha_stickiness,78,choose_blue,0.5366666666666666
M3_block_alpha_stickiness,78,stay_rate,0.6103425985778927
M3_block_alpha_stickiness,78,switch_after_loss,0.4710601719197708
M3_block_alpha_stickiness,78,switch_after_no_loss,0.32273262661955243
M3_block_alpha_stickiness,79,optimal_choice,0.6068519715578539
M3_block_alpha_stickiness,79,choose_blue,0.522948717948718
M3_block_alpha_stickiness,79,stay_rate,0.6001292824822236
M3_block_alpha_stickiness,79,switch_after_loss,0.4746689694876223
M3_block_alpha_stickiness,79,switch_after_no_loss,0.3388875850739263
M3_block_alpha_stickiness,80,optimal_choice,0.6133160956690369
M3_block_alpha_stickiness,80,choose_blue,0.5206410256410257
M3_block_alpha_stickiness,80,stay_rate,0.611764705882353
M3_block_alpha_stickiness,80,switch_after_loss,0.4595744680851064
M3_block_alpha_stickiness,80,switch_after_no_loss,0.32850356294536814
M3_block_alpha_stickiness,81,optimal_choice,0.5979314802844214
M3_block_alpha_stickiness,81,choose_blue,0.5321794871794872
M3_block_alpha_stickiness,81,stay_rate,0.5952165481577246
M3_block_alpha_stickiness,81,switch_after_loss,0.47706163805235013
M3_block_alpha_stickiness,81,switch_after_no_loss,0.34337637494022
M3_block_alpha_stickiness,82,optimal_choice,0.5962508080155139
M3_block_alpha_stickiness,82,choose_blue,0.5361538461538462
M3_block_alpha_stickiness,82,stay_rate,0.6165481577246283
M3_block_alpha_stickiness,82,switch_after_loss,0.45210084033613446
M3_block_alpha_stickiness,82,switch_after_no_loss,0.324609843937575
M3_block_alpha_stickiness,83,optimal_choice,0.594311570782159
M3_block_alpha_stickiness,83,choose_blue,0.5217948717948718
M3_block_alpha_stickiness,83,stay_rate,0.610989010989011
M3_block_alpha_stickiness,83,switch_after_loss,0.4600056931397666
M3_block_alpha_stickiness,83,switch_after_no_loss,0.32993841781146377
M3_block_alpha_stickiness,84,optimal_choice,0.5968972204266322
M3_block_alpha_stickiness,84,choose_blue,0.528974358974359
M3_block_alpha_stickiness,84,stay_rate,0.6106011635423401
M3_block_alpha_stickiness,84,switch_after_loss,0.46309095935858446
M3_block_alpha_stickiness,84,switch_after_no_loss,0.32467217095677514
M3_block_alpha_stickiness,85,optimal_choice,0.5990950226244344
M3_block_alpha_stickiness,85,choose_blue,0.54
M3_block_alpha_stickiness,85,stay_rate,0.6093083387201034
M3_block_alpha_stickiness,85,switch_after_loss,0.4612117780294451
M3_block_alpha_stickiness,85,switch_after_no_loss,0.33142993100166546
M3_block_alpha_stickiness,86,optimal_choice,0.6072398190045248
M3_block_alpha_stickiness,86,choose_blue,0.5197435897435897
M3_block_alpha_stickiness,86,stay_rate,0.6081447963800904
M3_block_alpha_stickiness,86,switch_after_loss,0.46514976958525345
