model,ppc_draw,condition,metric,value
M3_block_alpha_stickiness,11,Volatile2,optimal_choice,0.6129554655870445
M3_block_alpha_stickiness,11,Volatile2,choose_blue,0.5969230769230769
M3_block_alpha_stickiness,11,Volatile2,stay_rate,0.6361538461538462
M3_block_alpha_stickiness,11,Volatile2,switch_after_loss,0.45598591549295775
M3_block_alpha_stickiness,11,Volatile2,switch_after_no_loss,0.2923497267759563
M3_block_alpha_stickiness,11,Volatile3,optimal_choice,0.5869230769230769
M3_block_alpha_stickiness,11,Volatile3,choose_blue,0.42923076923076925
M3_block_alpha_stickiness,11,Volatile3,stay_rate,0.6130769230769231
M3_block_alpha_stickiness,11,Volatile3,switch_after_loss,0.46362098138747887
M3_block_alpha_stickiness,11,Volatile3,switch_after_no_loss,0.3229901269393512
M3_block_alpha_stickiness,12,Stable,optimal_choice,0.6105128205128205
M3_block_alpha_stickiness,12,Stable,choose_blue,0.5797435897435897
M3_block_alpha_stickiness,12,Stable,stay_rate,0.6018252933507171
M3_block_alpha_stickiness,12,Stable,switch_after_loss,0.47972587093089664
M3_block_alpha_stickiness,12,Stable,switch_after_no_loss,0.32965451055662187
M3_block_alpha_stickiness,12,Volatile1,optimal_choice,0.5930769230769231
M3_block_alpha_stickiness,12,Volatile1,choose_blue,0.4276923076923077
M3_block_alpha_stickiness,12,Volatile1,stay_rate,0.5876923076923077
M3_block_alpha_stickiness,12,Volatile1,switch_after_loss,0.4922813036020583
M3_block_alpha_stickiness,12,Volatile1,switch_after_no_loss,0.3472803347280335
M3_block_alpha_stickiness,12,Volatile2,optimal_choice,0.6129554655870445
M3_block_alpha_stickiness,12,Volatile2,choose_blue,0.583076923076923
M3_block_alpha_stickiness,12,Volatile2,stay_rate,0.6053846153846154
M3_block_alpha_stickiness,12,Volatile2,switch_after_loss,0.4793814432989691
M3_block_alpha_stickiness,12,Volatile2,switch_after_no_loss,0.32590529247910865
M3_block_alpha_stickiness,12,Volatile3,optimal_choice,0.5915384615384616
M3_block_alpha_stickiness,12,Volatile3,choose_blue,0.4230769230769231
M3_block_alpha_stickiness,12,Volatile3,stay_rate,0.5992307692307692
M3_block_alpha_stickiness,12,Volatile3,switch_after_loss,0.49108589951377635
M3_block_alpha_stickiness,12,Volatile3,switch_after_no_loss,0.3191800878477306
M3_block_alpha_stickiness,13,Stable,optimal_choice,0.6089743589743589
M3_block_alpha_stickiness,13,Stable,choose_blue,0.5653846153846154
M3_block_alpha_stickiness,13,Stable,stay_rate,0.6018252933507171
M3_block_alpha_stickiness,13,Stable,switch_after_loss,0.45870535714285715
M3_block_alpha_stickiness,13,Stable,switch_after_no_loss,0.34508076358296624
M3_block_alpha_stickiness,13,Volatile1,optimal_choice,0.5969230769230769
M3_block_alpha_stickiness,13,Volatile1,choose_blue,0.4207692307692308
M3_block_alpha_stickiness,13,Volatile1,stay_rate,0.6092307692307692
M3_block_alpha_stickiness,13,Volatile1,switch_after_loss,0.4557823129251701
M3_block_alpha_stickiness,13,Volatile1,switch_after_no_loss,0.33707865168539325
M3_block_alpha_stickiness,13,Volatile2,optimal_choice,0.6040485829959514
M3_block_alpha_stickiness,13,Volatile2,choose_blue,0.5776923076923077
M3_block_alpha_stickiness,13,Volatile2,stay_rate,0.6184615384615385
M3_block_alpha_stickiness,13,Volatile2,switch_after_loss,0.4630281690140845
M3_block_alpha_stickiness,13,Volatile2,switch_after_no_loss,0.31830601092896177
M3_block_alpha_stickiness,13,Volatile3,optimal_choice,0.5969230769230769
M3_block_alpha_stickiness,13,Volatile3,choose_blue,0.41615384615384615
M3_block_alpha_stickiness,13,Volatile3,stay_rate,0.64
M3_block_alpha_stickiness,13,Volatile3,switch_after_loss,0.4467713787085515
M3_block_alpha_stickiness,13,Volatile3,switch_after_no_loss,0.29160935350756534
M3_block_alpha_stickiness,14,Stable,optimal_choice,0.6092307692307692
M3_block_alpha_stickiness,14,Stable,choose_blue,0.5753846153846154
M3_block_alpha_stickiness,14,Stable,stay_rate,0.6297262059973925
M3_block_alpha_stickiness,14,Stable,switch_after_loss,0.4349334875650665
M3_block_alpha_stickiness,14,Stable,switch_after_no_loss,0.31718898385565053
M3_block_alpha_stickiness,14,Volatile1,optimal_choice,0.5876923076923077
M3_block_alpha_stickiness,14,Volatile1,choose_blue,0.44846153846153847
M3_block_alpha_stickiness,14,Volatile1,stay_rate,0.6253846153846154
M3_block_alpha_stickiness,14,Volatile1,switch_after_loss,0.4220032840722496
M3_block_alpha_stickiness,14,Volatile1,switch_after_no_loss,0.33285094066570187
M3_block_alpha_stickiness,14,Volatile2,optimal_choice,0.6072874493927125
M3_block_alpha_stickiness,14,Volatile2,choose_blue,0.5746153846153846
M3_block_alpha_stickiness,14,Volatile2,stay_rate,0.6338461538461538
M3_block_alpha_stickiness,14,Volatile2,switch_after_loss,0.4270833333333333
M3_block_alpha_stickiness,14,Volatile2,switch_after_no_loss,0.31767955801104975
M3_block_alpha_stickiness,14,Volatile3,optimal_choice,0.53
M3_block_alpha_stickiness,14,Volatile3,choose_blue,0.4753846153846154
M3_block_alpha_stickiness,14,Volatile3,stay_rate,0.5976923076923077
M3_block_alpha_stickiness,14,Volatile3,switch_after_loss,0.4630541871921182
M3_block_alpha_stickiness,14,Volatile3,switch_after_no_loss,0.34876989869753977
M3_block_alpha_stickiness,15,Stable,optimal_choice,0.6038461538461538
M3_block_alpha_stickiness,15,Stable,choose_blue,0.5741025641025641
M3_block_alpha_stickiness,15,Stable,stay_rate,0.6169491525423729
M3_block_alpha_stickiness,15,Stable,switch_after_loss,0.4427523970671179
M3_block_alpha_stickiness,15,Stable,switch_after_no_loss,0.3317167798254122
M3_block_alpha_stickiness,15,Volatile1,optimal_choice,0.6169230769230769
M3_block_alpha_stickiness,15,Volatile1,choose_blue,0.40692307692307694
